review,sentiment
"Well, it turned out as I expected: visual overload but nothing else added to the original. What did surprise me however was that the storyline was fairly drastically changed compared to the 1968 flick. Initially this awoke my interest, but what eventually surprised was that the new twists and turns (a) were apparently invented in order to present us with a typical Hollywood-like product and (b) made the whole storyline improbable! The 1968 story was breathtakingly straightforward, and included no time-storms or any bogus of that sort: it just stated that when you come home after a long journey, things might have changed a bit. Earth might have fallen in the hands of apes, for example. Like many 'old' movies, it's main ingredient was suspense (hell, does anyone understand that word these days?). In this Burton movie, an attempt has been made to turn the whole thing into an action movie, but at what cost? Surely, the images are overwhelming, and a lot of time and money has been put into the design of a complete ape-culture (even ape-music!), but what's wrong?<br /><br />First, the suspension of disbelief is made very hard, because the apes have a lot of Hollywood-human traits. I refer especially to Ari and the slave-trader. These traits include emotional skills like irony, sarcasm, and an overtly displayed array of 'subtle' emotions. It makes you forget that the apes are apes, which is essential.<br /><br />Second, the humans TALK. Of course, we can imagine that humans will never forget how to speak, but the fact that the apes had speech and the humans didn't made the ape/human role-switching very tangible and stressing in the 1968 version. The wound in the throat that Charlton Heston gets there is essential to his survival and his later regained speech essential to his uniqueness and the interest that Dr. Zira has in him (so, no need for things like human rights activists or ape-human love in order to explain things).<br /><br />Third, the fact that they talk ads a great deal to the implausibility, but is a necessary twist in the new movie, since Capt. Davidson has to play the Hollywood-let's-save-the-whole-world- and-have-a-good-ending-for-everyone- and-still-make-it-to-the-lounge-bar- for-a-cool-diet-coke character. Oh my god, will they never learn? I new it from the start, when there was only one guy who got lost! They were in need of a hero! And then the script writers go on reasoning: we need one guy... so, why would one guy get lost... because he tries to save an ape from an electromagnetic storm... implausible! But it's necessary because it shows the audience that he respects apes! Since, in these modern and politically correct times, we can't have a xenophobic ape-hater like Charlton Heston's 68 character loose on the screen: let's give them a bubblegum version!<br /><br />Fourth, okay, the general twist of the original 'discovering the truth' of the 1968 film to the modern version (he finds that his own mother ship crashed on the planet ages ago and that their lab-apes developed their society, where Heston simply discovered that just, somehow, the apes overtook the earth while he was away) is nicely done. The second, battle-part comes as an anti-climax. That's because this movie has added the first two Planet Of The Apes movies in one plot. Nice try, but the chill you feel when Davidson and you discover that he's lost on the planet forever just washes out due to the uninteresting battle-part.<br /><br />Fifth: the ending!!! For chrissakes, who came up with that?! (a) Davidson crashes TWICE with his escape pod, which seems an unsteerable object, while the chimp manages to simply land gracefully? Come on, who'd believe that? If the pods are really small space crafts (Davidson simply flies off into space at the end) and not merely escape vessels, he might have managed a safe landing at least once, no? And what about that ending???? I mean, in the original film it was clear that everything took place on earth. But here: the whole movie takes place on a distant planet, and suddenly the same (there's a Thade statue) ape culture is on earth??? How come? Did the apes of the far planet evolve technologically, flew into the time storm and colonised earth before Davidson's mission took off? Why is Thade worshiped? Stupid stupid stupid.<br /><br />Helena Bonham Carter is even adorable and beautiful as an ape, but I'd expected no less. I preferred her ape above Estella Warren as a human, but maybe I got some loose wire in my head. Nevertheless, the only convincing apes were Tim Roth as Thade (wonderful!) and Ari's household ape (the ex-general, but I forgot his name).<br /><br />Nonono, a lot of things could and should have been added/altered to the 1968 pic, but not the plot, at least not in that way. It was simple and clear and needed no additional explaining. It was nicely tongue-in cheek and caricatured. Don't stylize everything...",negative
"Cooley High was actually a drama with moments of comedy. It was a reflection of high school life back in the day. I attended Coolidge High in Washington, D.C. from 1976 to 1979 and much of what was in Cooley High was an every day thing at Coolidge. As a matter of fact after the movie came out everybody started calling Coolidge ""Cooley High."" Getting high, shooting dice, chasing girls, basement parties, and fights, that sums up high school life for many in D.C. back in the day. I can't forget Motown because Motown music began and ended many a day back in the 70s. The hits just kept coming. However, Cooley High adds a layer of humanity over the craziness because when all was said and done just like in Cooley High my classmates and I had a lot of love for each other. And like the characters in Cooley High there was life after high school, but there was nothing like waking up every morning and experiencing each day to the fullest from homeroom to seventh period. Thirty years later we are getting ready to celebrate those good times. Cooley High is definitely a period piece that just gets better with time because like it or not the only thing left from those days are memories, some good, and some bad.",positive
"This is a great movie for any fan of Hong Kong action movies. Asides from it's little plot, the weak drama and bits of comedy antics, the movie is action packed with gun-fighting and martial arts action. Kept me entertained from beginning until the end. I thought Shannon Lee was awesome in the movie.<br /><br />Having an action director like Corey Yuen is what keeps Hong Kong action going strong. This modern action film is highly recommended!!",positive
"I'm trying to understand what people liked about MirrorMask. I am an avid film viewer and hobbyist film maker. As I was telling friends during my lunch hour, MirrorMask may well be my biggest movie disappointment of the year. Just like the short Moongirl, the film missed its marks. Several times during the movie it made attempts at humor. It sets you up for the laugh. Instead of making you laugh, it leaves you feeling empty. The jokes reminded one of the recent Star Wars films. They weren't funny unless you were five. And the acting felt similarly terrible. I've seen actors actually act in front of a blue screen. And I've believed it. But not in this film. Not for a second.<br /><br />This film takes a formula and tries to apply it with pretty artwork And though the script is totally workable and the special effects quite beautiful, it has no heart to it and fails miserably. I left the film shaking my head and considered leaving the theater. I felt hallow and miserable and still haven't gotten the sour taste out of my mouth from it. I love independent film. I encourage people to view independent films to support them. But not this film. This film shouldn't have been made. At least, not like this. Why did the director miss the marks so clearly? They were clearly setup Not just the humor. But the emotions. The drama. Even the lines were poorly timed and delivered. It was like the film walked on three legs instead of four. Its steps are awkward and miss timed. And it could fall over with the slightest push Don't see this film. I don't care who you are. It isn't worth your time.",negative
"Loved the film! This was my first glimpse at both Reese Witherspoon and Jason London, both of which are two of my favorites. Must say that no matter how many times I've seen this movie I can't help but tear up. One of those movies that should become a classic for all.",positive
"Over Christmas break, a group of college friends stay behind to help prepare the dorms to be torn down and replaced by apartment buildings. To make the work a bit more difficult, a murderous, Chucks-wearing psycho is wandering the halls of the dorm, preying on the group in various violent ways.<br /><br />Registered as one of the 74 'video nasties' listed by the U.K. in the 1980s, The Dorm That Dripped Blood had a good reputation built up for it prior to first viewing. The term 'video nasty' strikes into mind some images of some great explicit gore, violence, sex, etc.: All the things a horror fan dreams of. So, after hearing all of that info, I settled into Pranks (alt. title) expecting a sleazy slasher experience. . . and that's what it tried to be, but failed pretty much completely. Visually, the film's not great. The cinematography, gore (except for a couple scenes), and overall direction all fail. It's simply not enjoyable to watch. The unoriginal script is lacking and often throws in random things without any real reason (like the opening kill). There are some cool death scenes, including a pretty nice face melt (which can be seen on the poster), but that's about it for the positive. The acting is pretty bad, the story seems unimportant, the killer isn't cool or scary, and it suffers the one major error that any slasher flick should always avoid: it's a bit boring. Overall, for a film done by a few UCLA film students for $90,000 (which would be over double that today), The Dorm That Dripped Blood isn't a total mess. It has a couple good things, and is fairly watchable. . . But, as a slasher flick looking to be on the level of films like The House on Sorority Row and Pieces. . . it just cannot compare. Don't expect much, and you may at least be entertained. I hate to say it, but this is one of the few films I've seen that would actually be better with a remake. . . and yet, they go after great works like Black Christmas. Oh well. . .<br /><br />Obligatory Horror Elements:<br /><br />- Subgenre: Slasher<br /><br />- Violence/Gore: There are some brutally cool kills, and the gore is okay for the most part. . . but nothing special. Also, they off-screened some of the best murders.<br /><br />- Sex/Nudity: There's a little unappealing (to me) nudity, but not very much.<br /><br />- Cool Killer(s): Nah. The ending monologue(s) of the killer made him/her pretty uncool.<br /><br />- Scares/Suspense: A jump scare or two, but nothing too effective.<br /><br />- Mystery: I suppose, yeah, but I simply didn't care enough, and it's as obvious as the nose on the killer's face.<br /><br />- - -<br /><br />Final verdict: 3.75/10. Bah! Humbug! <br /><br />-AP3-",negative
"""The Mayor Of Hell"" has the feel of an early Dead End Kids film, but with a much harder edge and very few light spots, preceding the first appearance of the Dead Enders by four years. James Cagney has a full screen opening credit, even though technically, the 'mayor' of the movie's title is actually portrayed by Frankie Darro, one of several boys sent to reform school during the opening scenes. Darro's character is Jimmy Smith, a young tough who's befriended by 'Patsy' Gargan (Cagney), and is elected to the position when Gargan takes a chance at humanizing conditions at a state reformatory.<br /><br />Warner Brothers made a lot of these types of films, attempting to provide a conscience of sorts in an era that only too well knew about the effects of crime and poverty. This movie is quite gritty, with no apologies for ethnic stereotyping, as in the submissive posture of a black father in court or the way a Jewish kid gets to run a candy shop in the reform school. The rules at the reformatory are simple enough - work hard and keep your mouth shut; step out of line and you answer personally to Warden Thompson (Dudley Digges).<br /><br />Cagney's role in the story seems somewhat ambiguous, since even though he makes a serious effort to improve conditions inside the reformatory, on the outside he's still nominally in control of a criminal racket. The film's attempt to juggle this dichotomy falls short in my estimation, the finale attempts to wrap things up in a neat package as Gargan awaits the outcome of a near fatal shooting of one of his henchmen. Not exactly the kind of role modeling one would look for in a film like this.<br /><br />Warner Brothers would sanitize some of the elements of this story in a 1938 remake titled ""Crime School"", featuring Humphrey Bogart in the Cagney role, and Billy Halop in the Frankie Darro part. If you're partial to the Dead End Kids you'll probably like the latter film better, since it also offers familiar faces like Leo Gorcey, Huntz Hall, Bobby Jordan and Gabriel Dell. However the ending is somewhat muddied in that one too, with Bogart's warden character involved in a cover up of a prison breakout. Both films offer a romantic interest for the lead characters, in 'Mayor', Madge Evans is a reform minded nurse that falls for Cagney's character.<br /><br />Curiously, a lot of James Cagney's early films aren't commercially available, so you'll have to keep your eyes peeled for a screening on Turner Classics, or source the film from a private collector. Personally, I can't get enough of this kind of stuff, and find intriguing points of interest in the films of all genres from the Thirties and Forties.",positive
"This two-part TV mini-series isn't as good as the original from 1966 but it's solid. The original benefited from a huge number of things---it was all in black and white, it had a great jazz score and it was filmed at the real locations, including the home of the doomed Clutter family. That was important because in the book and in the original movie the home is very much a character itself.<br /><br />This remake was filmed in Canada which I guess doubles okay for Kansas. The story tries to be as sympathetic to Perry as it dares to and Eric Roberts plays him as a somewhat fey person, his homosexuality barely hidden. The gentler take by Roberts doesn't quite work in the end though because it's hard to believe that his version of Perry Smith would just finally explode in a spasm of murder. Whereas Robert Blake's take on Smith left you no doubt that his Perry Smith was an extremely dangerous character.<br /><br />Anthony Edwards was excellent as the bombastic, big-mouthed and ultimately cowardly Dick Hickcock, the brains of the outfit. His performance compares very well to Scott Wilson's role in the original movie.<br /><br />Since this is a longer movie it allows more time to develop the Clutter family and in this regard I think the 1996 movie has an advantage. The Clutters are just an outstanding, decent family. They've never harmed another soul and it is just inexplicable that such a decent family is ultimately massacred in such a horrifying way. It still boggles my mind that, after the Clutters were locked in the bathroom, that Herb Clutter didn't force out the window so at least his children would have a chance to escape. This movie has the thought occur to him, but too late. From what I read about the real home, which is still standing, the way the bathroom is configured they could've opened the counter drawers and effectively barricaded the door which would've forced the killers to blast their way in. But it might've bought time for some of the Clutters to escape. Why the Clutters didn't try this, I have no idea.<br /><br />Fans of the book will recognize that this movie takes a lot of liberties with how the crime is committed but not too serious. Still, it's distracting to viewers like me who have read tons about the case. The actors playing the cops, led by Sam Neill and Leo Rossi, are uniformly excellent, much better, I think, as a group, than the actors in the original movie. They know that to secure the noose around the necks of both of them they have to get them to confess. And the officers come to the interview impeccably prepared. They had already discovered the likely alibi the phony story of going to Fort Scott, and had debunked every jot of it. The officers then let Smith & Hickcock just walk into their trap. Hickcock is a b.s. artist who figures he can convince anyone of anything and the officers respectfully let him tell his cover story. But when they lower the boom on him, he shatters very quickly. It's very well filmed and acted and very gratifying to watch because the viewer naturally should loath Hickcock in particular by this point, a cowardly con-man who needs the easily manipulated Smith to do his killing for him. Supposedly Hickcock later stated that the real reason for the crime wasn't to steal money from the Clutters but to rape Nancy Clutter. At least she was spared that degradation.<br /><br />The actors playing the Clutters are very good, Kevin Tighe as Herb Clutter in particular. The story sensitively deals with Mrs. Clutter's emotional problems, most likely clinical depression, and Mrs. Clutter displays remarkable inner strength when she firmly and strongly demands that the killers leave her daughter alone. From what I've read the Clutters' surviving family was particularly bothered by how Bonnie Clutter was portrayed in the book, claiming it was entirely untrue. But as an aside, both of the killers related to the police how Mr. Clutter asked them to not bother his wife because of her long illness. Capote might make up that fiction to make the character of Bonnie more interesting but certainly the killers had no reason to falsely portray Mrs. Clutter and no doubt much of the conversation in the book (duplicated in the movies) is right off the taped confessions of the killers. So it would've been nonsensical for Herb to have said that and not have it be true.",positive
"The pilot is extremely well done. It lays out how the characters bond in future episodes. I don't think anyone could have created a better pilot for this show. It displays remarkable creativity on the writers part. Although not everything was straightened out because it was the very first episode, a lot of events that happen in future seasons were demonstrated in the pilot. An example would be Ross and Rachels future relationship. Even though the nervousness of a first episode appeared, it was overcome by an amazing plot and outstanding cast choice.<br /><br />Bravo.<br /><br />A great start to an unbeatable comedy!",positive
"This miserable film is a remake of a 1927 film. They should have let it remain that way.<br /><br />What a colossal bomb! Douglas Fairbanks displays absolutely no charisma here. Cesar Romero is subjected to a role as a real jerk and Bette Grable sings with a chorus- What I'll Do to that Hungarian!<br /><br />The ridiculous plot deals with a picture of a woman in a castle in 1561 Rome that saved the day by killing a conqueror. (Fairbanks) Now, let's fast forward to 300 years later, where Grable, just married to the Count Romero, faces a similar situation, when on her wedding night, there is an invasion by Hungarian soldiers.<br /><br />Romero acts cowardly and flees before the army arrives. He disguises himself as a gypsy and is made to remain at the castle when his violin playing pleases Fairbanks. The ending is worse than the entire wretched film when Grable meets Fairbanks to tell him the good news-an enraged Romero has annulled the marriage.<br /><br />This poor imitation of a movie was made in 1948. As Harry Davenport, a veteran supporting player who is in it, died in 1949; this must have been his last film. What a bomb to go out with after such a distinguished career.<br /><br />Walter Abel co-stars but he can do little with such poor writing. The costumes look more like those that would come out of the stone age. I can't fathom what Fairbanks was wearing.",negative
"I have to start off by apologizing because I thought the first 75-80% of this film was hilarious. It's mostly because of Brad Pitt's performance. Spot on.<br /><br />The acting by all involved was quite good but Brad stole the movie. The atmosphere was perfect in all respects. I'm not a giant Pitt fan but this has got to be one of his best roles ever.<br /><br />Brutal,Honest,Gritty. All good words to describe this movie.<br /><br />I was reading a previous review and the person said that the reasoning behind Early's violence isn't explained. It is explained but they thankfully don't have to go into graphic detail to get their point across.<br /><br />Overall I gave this a 9 because every scene bar 1 or 2 was effective. I think the humor in the first half or so is perfect for this movie. Underrated.",positive
"This is Burt Reynolds'""Citizen Kane"".Tragically nothing else he was ever involved in came close to approaching ""Sharkey's Machine"".It seemed to me that he put everything he had into it.It is a movie that is in love with movies.The opening sequence where Detective Sharkey single-handedly rescues a bus-load of hostages is an immensely exciting piece of cinema. Everything moves so quickly once it has started to go wrong that it appears to take on a life of its own,a brilliantly achieved effect. It looks cold,tense and dangerous on Mr Reynolds' streets. The precinct house looks dirty and tired,full of desperate people on both sides of the law,shouting,cursing out,trying to do deals or just stay alive.Into this underworld descends the recently demoted Sharkey - a reward for a bungled drugs bust(caused by a corrupt cop) - he and his team are part of the vice squad.Information they pick up concerning a crooked politician leads them into the world of high-class call girls and ruthless drug barons. Watching the apartment of one such call-girl(Rachel Ward)Sharkey falls in love with her portrait on the wall(I know,I know)and when a woman's body is found with its face shot off in one of the rooms,he thinks its her.(Well,I did say it was a movie that loved movies). The scene where she walks in on him works beautifully,even if you have seen the original. The film is full of good touches,I particularly like Charles Durning's war story,subtly acted and shot in sharp contrast to Sharkey's abduction and torture which is suitably harsh and brutal. I must mention Vittorio Gassman and Henry Silva as two disparate but equally evil brothers with absolutely no redeeming features whatsoever. They are ""full on"" every time they're on screen and are no loss to society when their time comes,Mr Silva's end being extra special indeed. As has been mention,this is a Clint Eastwood movie that Clint never made.The biggest compliment I can pay ""Sharkey's Machine"" is to point out that in my opinion Clint Eastwood couldn't have made a better job of it. The soundtrack is of an equally high standard,featuring Sarah Vaughan,Joe Williams,Julie London,Chet Baker and other top class artists. Randy Crawford's ""Street Life"" plays behind the title sequence,and I can never hear it without ,in my mind's eye,seeing Sharkey striding along the sidewalk. Like other correspondents I have never understood why this film was a bit of a flop.I hope it is due for a critical revision,particularly at a time when so many cop movies and shows without a quarter of its energy , freshness and sheer joie de vivre are lauded from the rooftops. If you're ever tempted to think of Burt Reynolds as a burnt - out one - trick pony,put ""Sharkey's Machine"" in your video machine.I promise you won't be disappointed.",positive
"Without a doubt, one of Tobe Hoppor's best! Epic storytellng, great special effects, and The Spacegirl (vamp me baby!).",positive
"This must rank as one of Cinema's greatest debacles. I was wandering Europe at the time and had the misfortune to stumble upon the crew making this movie in what was, even then, one of the world's idyllic, unspoiled settings. I was enlisted as an extra, and what followed was an exhibition of modern day debauchery. Forget all the accusations you've ever heard of Peter Mayall's intrusions on this rare piece of French life- Geoff Reeve and his cohorts embarked on a level of revelry at the restaurant at Les Beaux that left the Maitre'd slack-jawed in disbelief. They were, quite simply, awful, uncultured and undeserving of French hospitality.",negative
"This anime is a must-see for fans of Evangelion. It's an earlier work of Anno Hideaki, but his unrestrained, dramatic style is quite in place. Also, those who didn't like Evangelion might find this release to bit slightly more palatable. Gunbuster is rather unique to sci-fi anime in that it's actually based on real science. In fact, the show has several little ""Science Lesson"" interludes explaining the physics behind some of the events in the movie. One of the big dramatic points in the film is the relative passage of time at speeds near that of light. The series does a wonderful job of dealing with the imaginably traumatic experience of leaving earth on a six month mission traveling near the speed of light and returning to an Earth where ten years have passed. The main character remains age 17 or 18 throughout the entire series while almost all of the other characters age considerably. Be warned, this show is heavy on the sap at times. It also has a couple of the most wholly unmerited breast shots that I have ever seen. I found it fairly easy to ignore the skimpy uniforms and boo-hoo scenes, because the series is otherwise very good, but viewers with a low sap tolerance might want to stay away from this one. On an interesting note, Gainax, as always, managed to run out of money in the last couple of episodes. However, they managed to use black and white film and still action sketches to produce a good resolution anyway. The ending is a bit silly, but it left me with such a good feeling in my gut I couldn't help but love it. Gunbuster is, in my opinion, one of the finest pieces of Anime around.",positive
"Don't see this movie. Bad acting and stupid gore effects. A complete waste of time. I was hoping to see a lot of cool murders and hot chicks,instead the director depended on animal slaughter videos to shock you, the watcher. Disgusting. The murders are pretty lame, basically strangulation. One woman he stuffs worms in her mouth, one he puts raw hamburgers on her face and strangles her. BTK = BTK broiler, burger king's ""killer"" new sandwich....ha ha. I don't think this movie relied too much on actual facts. I mean, he real BTK killer didn't carry around a bunch of rodents, scorpions and worms..and oh yeah...a slaughtered cow head too. Go figure.",negative
"I haven't any idea how commentators could regard this as a decent B Western. Or how one commentator said the plot was more cohesive than most. Nothing could be farther from the truth! This movie is one HUGE non-sequitur! It is an affront to the noble B Western films of the '30's. I have seen many of Wayne's early Lone Star and Republic westerns, and this one is easily the worst.<br /><br />The bad guy is known as The Shadow - for crying out loud! Initially, The Shadow's scheme is holding up open-sided stage coaches. Simultaneously, his gang rustles all of the cattle in the territory. Then they decide to move on to bank robbery. To do this, they need to shoot up the town with a machine gun - no explanation of why that's necessary or how he got that neato little toy!<br /><br />No single scheme is revealed in enough detail to suggest a plot here. The Shadow is obviously just a generally bad guy with all kinds of generally evil schemes. <br /><br />He imparts his instructions to his gang through a fake wall-safe. (Knock-knock, who's there?) He is apparently clairvoyant, because whenever his henchmen need to talk to him, they knock on the wall, the safe opens and - PRESTO - he's there. (I can just imagine that he has met them face-to-face and says,""I have some secret, nefarious instructions to give you about our next evil deed - meet me at the wall-safe and I'll give 'em to you."") Just why the Shadow requires the safe to communicate with his army of outlaws is, like most of the elements of this mess, never explained.<br /><br />He has a nifty tunnel to the ol' hollow stump across the street from which vantage point, various of his baddies perform assassinations. He also has a hidden panel NOT in his secret lair behind the fake safe, but out in the main room.<br /><br />When not behind the safe, he hangs out on his cow-less ranch, masquerading as rancher Matlock. We learn that he has murdered the true owners of the ranch - two brothers - and assumed the identity of one. The daughter of the dead brother has recently arrived from 1930's NYC (judging by her wardrobe), and she apparently never met her real uncle, because he dupes her, too!<br /><br />If you thought that bad guys always wore black hats and good guys white hats, you need to see this movie. Here, the good guys all ditch their hats in favor of white head-bands that make them look like they have all suffered head wounds before any shots have been fired! It's like a game of pick-up basketball - only Wayne has them tying bandanas 'round their heads instead of just taking off their shirts.<br /><br />Perhaps the weirdest of all is the ending. Immediately after subduing the Shadow and his gang, we jump far enough into the future to see Wayne and his wife (the erst-while niece) on the front porch of their home. (Never mind that there has been scant romance.) There, Yak is playing with Wayne's 3-4 year old son, dressed up in Injun garb! (Hiyoo, skookum fun!)<br /><br />No thanks to this nonsense, Wayne went on to become a screen legend. Only a super-star (packer or not!) could surmount this entry in a film resume. Long live the Duke!",negative
"Office work, especially in this era of computers, multi-functional copy machines, e-mail, voice mail, snail mail and `temps,' is territory ripe with satirical possibilities, a vein previously tapped in such films as `Clockwatchers' and `Office Space,' and very successfully. This latest addition to the temp/humor pool, however, `Haiku Tunnel,' directed by Josh Kornbluth and Jacob Kornbluth, fails to live up to it's predecessors, and leaves the laughs somewhere outside the door, waiting for a chance to sneak in. Unfortunately for the audience, that chance never comes; so what you get is a nice try, but as the man once said, no cigar.<br /><br />	As the narrator/star of the film, Josh Kornbluth (playing Josh Kornbluth), points out in the opening frames (in a monologue delivered directly into the camera), this story is pure fiction, and takes place in the fictional city of `San Franc'l'isco.' It's an innovative, if not very imaginatively presented disclaimer, and not all that funny. It is, however, a harbinger of what is to follow, all of which-- like the disclaimer-- just isn't all that funny.<br /><br />	Kornbluth plays Kornbluth, an aspiring novelist who supports himself working as a `temp.' It's a job that suits him, and it gives him time to slip in some work on his novel from time to time. But when he goes to work for a lawyer, Bob Shelby (Warren Keith), he does too good a job on the first day, and Shelby dispatches head secretary Marlina D'Amore (Helen Shumaker) to Kornbluth to persuade him to go `perm.' The thought of working full time for the same company, though, initially strikes fear in the heart of Kornbluth, but he caves in and signs on for the position. He's nervous about it, but at least now the other secretaries acknowledge his presence (which, of course, they would never do with a temp), and if things get too rough, he has seventeen important letters he's typed up-- that now just have to be mailed out-- to fall back on (he's been holding them back because the mailing is the easy part, and he needs that `something easy to do' in reserve, in case it all gets to be too much for him). These are `important' letters, however, and by the end of the week, Kornbluth still has them in reserve, on his desk. And it doesn't take a genius to figure out that when Shelby finds out about it, Kornbluth's days as the fair-haired boy are going to be over. And quick.<br /><br />	The Brothers Kornbluth, who not only directed, but along with John Bellucci also wrote the screenplay for this film, should have taken a page out of the Ben Stiller Book of Comedy, where it says `If you play it straight, they will laugh.' But, they didn't, and the audience won't. Because in comedy, even looking at it as objectively as possible, when the main character (as well as most of the supporting characters, in this case) `Plays' funny-- as in, he `knows' he's being funny-- he never is. And that's exactly what Kornbluth does here; so rather than being `funny,' he comes across as insincere and pretentious, a grievous error in judgment on the part of the Kornbluths, because by allowing it, they sabotaged their own movie. <br /><br />	In trying to discern exactly why this movie doesn't work, it comes down to two basic reasons: The directing, which-- if not necessarily `bad'-- is at least careless; and secondly, the performances, beginning with that of Josh Kornbluth. Quite simply, Kornbluth just seems too impressed with himself to be effective here. Unlike Stiller, or even Steve Martin-- both of whom use self-deprecating humor very effectively-- Kornbluth apparently has an ego that simply will not allow putting himself in that light; he seems to have a need to let his audience know that he, the real Kornbluth, is in reality much more clever than Kornbluth the character. And being unable to get past that does him in, as well as the film. Rather than give the millions of office workers who may see this film someone to whom they can relate or with whom they can identify, Kornbluth affects a condescending manner that only serves to alienate the very people he is attempting to reach. So what it all comes down to is a case of poor directing and unconvincing acting, and when you take into consideration that the screenplay itself was weak to begin with, with an inexplicably narrow focus (given the potential of the rich subject matter), it's easy to understand why this one just doesn't fly.<br /><br />	The one saving grace of the film is the performance by Warren Keith as Shelby, whose subtle delivery is convincing, and which-- in and of itself-- is fairly humorous. The effectiveness of it is diminished, however, inasmuch as Keith has to share his scenes with Kornbluth, which somewhat automatically cancels out his positive contributions to the project. <br /><br />	Shumaker and Sarah Overman (Julie Faustino) also manage to keep their heads above water with their respective performances, which are commendable, if not entirely memorable; they at least make their scenes watchable, and Overman even manages to elevate Kornbluth's performance, if only momentarily. But it's still not enough to save the day or the film.<br /><br />	The supporting cast includes Amy Resnick (Mindy), Brian Thorstenson (Clifford), June Lomena (DaVonne), Joe Bellan (Jimmy the Mail Clerk), with a cameo appearance by a disheveled looking Harry Shearer, as the Orientation Leader-- a role that begs for an answer to the question, `What was he thinking when he agreed to this?' In any work environment, there will forever be situations arising that one way or another will unavoidably become fodder for someone's comedic cannon, and the films depicting said situations will always be with us; the good ones (see paragraph one) may even become classics in their own right. `Haiku Tunnel,' however, will doubtfully remain very long amongst them, for it's destiny lies elsewhere-- in a realm known only as: `Obscurity.' I rate this one 1/10. <br /><br /> <br /><br />",negative
"This film was not only one of John Ford's own personal favorites but also numbered directors Sergei M. Eisenstein and Bertrand Tavernier among its high-profile admirers. Ironically, I've just caught up with it myself via Criterion's recent 2-Disc Set after missing out on a couple of original language screenings of it on Italian TV many years ago and again a few times on TV while in Hollywood! <br /><br />The film marked Ford's first of nine collaborations with Henry Fonda and is also a quintessential example of Ford's folksy Americana vein. A beautifully made and pictorially quite poetic piece of work, the courtroom sequences (and eventual revelation) in its second half still pack quite a wallop, apart from giving stalwart character actor Donald Meek a memorably meaty role as the prosecuting attorney.<br /><br />Fonda is, of course, perfectly cast as a bashful, inexperienced but rigorous and humanistic lawyer who was destined to become President; Fonda would go on to portray other fictitious politicians on film - most notably in Franklin J. Schaffner's THE BEST MAN (1964) and Sidney Lumet's FAIL-SAFE (1964) - and it's surprising now to learn that he was reluctant at the time about accepting the role of Lincoln since, in his view, that was ""like playing God""! <br /><br />It is interesting to note here that Ford had previously tackled Abraham Lincoln (tangentially) in THE PRISONER OF SHARK ISLAND (1936), a superb but perhaps little-known gem which has, luckily, just been released as a Special Edition DVD by the UK's veritable Criterion stand-in, Eureka's ""Masters Of Cinema"" label. Besides, I also have two more Abraham Lincoln films in my DVD collection which I've yet to watch and, incidentally, both were directed by D. W. Griffith - THE BIRTH OF A NATION (1915) and ABRAHAM LINCOLN (1930) - and, had I not just received a bunch of films I've never watched before just now, I would have gladly given them a spin based on my highly-satisfying viewing experience with YOUNG MR. LINCOLN.",positive
"This familiar story of an older man/younger woman is surprisingly hard-edged. Bikers, hippies, free love and jail bait mix surprisingly well in this forgotten black-and-white indie effort. Lead actress Patricia Wymer, as the titular ""Candy,"" gives the finest performance of her career (spanning all of 3 drive-in epics). Wymer was precocious and fetching in THE YOUNG GRADUATES (1971), but gives a more serious performance in THE BABYSITTER. The occasional violence and periodic nudity are somewhat surprising, but well-handled by the director. Leads Wymer and George E. Carey sell the May/December romance believably. There are enough similarities between THE BABYSITTER and THE YOUNG GRADUATES to make one wonder if the same director helmed the latter film as well. Patricia Wymer, where are you?<br /><br />Hailing from Seattle, WA, Miss Wymer had appeared as a dancer on the TV rock and roll show MALIBU U, before gracing the cover (as well as appearing in an eight-page spread) of the August, 1968 issue of ""Best For Men,"" a tasteful adults-only magazine. She also appeared as a coven witch in the popular 1969 cult drive-in shocker THE WITCHMAKER.<br /><br />THE BABYSITTER has finally made its home video debut, as part of the eight-film BCI box set DRIVE-IN CULT CLASSICS vol. 3, which is available from Amazon.com and some retail stores such as Best Buy.",positive
