FFT Size:Rows,FFT Size:Cols,SSR,No. of 1D Kernels,No. Of Batches,Execution Time(mS),Performance in GFLOPs
16,16,8,2,1,0.02,0.45
16,16,8,2,10,0.29,0.36
16,16,8,2,100,2.34,0.44
16,16,8,2,1000,7.52,1.37
32,32,8,2,1,0.11,0.46
32,32,8,2,10,1.24,0.42
32,32,8,2,100,7.1,0.73
32,32,8,2,1000,13.52,3.86
64,64,8,2,1,0.57,0.44
64,64,8,2,10,5.13,0.48
64,64,8,2,100,16.07,1.55
64,64,8,2,1000,22.37,11.48
128,128,8,2,1,1.11,1.03
128,128,8,2,10,11.1,1.04
128,128,8,2,100,23.08,5.14
128,128,8,2,1000,24.27,50.42
256,256,8,2,1,1.56,3.36
256,256,8,2,10,14.29,3.67
256,256,8,2,100,26.18,20.03
256,256,8,2,1000,19.12,274.16
